ID,Feature,User Story,Expected Behavior,Status,Errors Found,Fix Applied
F01,Logo Display,"As a user, I see the company logo in the sidebar when the app loads","Logo loads from F:\СОЦИТУД\ path and displays at 120px in sidebar",PASS,—,—
F02,API Status Indicators,"As a user, I see green/red indicators for SearchApi, VK, DDG in sidebar","Each indicator shows colored dot with status text",PASS,—,—
F03,Groq Connection Check,"As a user, I see Groq API connection status at startup","Green dot if API key valid and reachable, red otherwise",PASS,—,—
F04,LM Studio Lazy Check,"As a user, LM Studio is NOT checked at startup","LM Studio only checked when user selects it in radio button",PASS,—,—
F05,UncloseAI Lazy Check,"As a user, UncloseAI is NOT checked at startup","UncloseAI only checked when user selects it in radio button",PASS,—,—
F06,AI Provider Selection,"As a user, I can select Groq/UncloseAI/LM Studio via radio buttons","Selecting provider updates available models list",PASS,—,—
F07,Model Selection,"As a user, I can select a specific AI model from dropdown","Dropdown shows models for selected provider, defaults to first",PASS,—,—
F08,Niche Selection,"As a user, I can type a niche or select from predefined list","Text input and selectbox both work, selectbox populates from HUNTER_QUERIES",PASS,—,—
F09,City Selection,"As a user, I can type a city or select from predefined list","Text input and selectbox both work, selectbox populates from REGION_COORDS",PASS,—,—
F10,Search Limit Slider,"As a user, I can set search limit between 10-500","Slider with step 10, default 50",PASS,—,—
F11,Step 1 Search Button,"As a user, I click ШАГ 1 to start search","Button triggers run_search() with progress bar",PASS,—,—
F12,Search Progress Bar,"As a user, I see progress during search","Progress bar updates with current phase (primary/secondary markers)",PASS,—,—
F13,Search Phase 1 Primary Markers,"As a user, search uses PRIMARY_MARKERS first","Query template: niche + city + marker for each primary marker",PASS,—,—
F14,Search Phase 2 Secondary Markers,"As a user, if few results found, secondary markers are used","Only triggers if Phase 1 results < limit",PASS,—,—
F15,Search Deduplication,"As a user, duplicate companies are removed","Deduped by normalized company name AND URL",PASS,—,—
F16,Aggregator Level 1 Filter,"As a user, known aggregator domains are blocked from results","72 domains + URL patterns + title patterns filtered",PASS,—,—
F17,Aggregator Level 2 Content Filter,"As a user, aggregator pages detected by content analysis","Post-fetch scoring: phones, ratings, catalog signals, company signals",PASS,—,—
F18,Step 2 Enrichment Button,"As a user, I click ШАГ 2 to parse results","Button disabled until raw_items exist, triggers run_enrichment()",PASS,—,—
F19,Enrichment Progress,"As a user, I see progress during enrichment","Progress bar shows percentage of sites processed",PASS,—,—
F20,Quick LPR Check,"As a user, sites without LPR keywords in raw HTML are NOT skipped","quick_check_lpr() now logs warning but continues enrichment",FIXED,"Previously returned empty result if no LPR keywords in raw HTML","Removed hard block at enricher.py:513-518, now only logs warning"
F21,Aggregator Page Detection,"As a user, real company sites are not falsely marked as aggregators","_is_aggregator_page() scoring: score >= 4 = aggregator (raised from 3)",FIXED,"Threshold too low caused false positives","Raised threshold from 3 to 4 at enricher.py:282"
F22,Contact Page Fallback,"As a user, if main page has <2 contacts, contact pages are tried","Tries /contacts, /about, /o-nas, /kontakty etc.",PASS,—,—
F23,Email Extraction,"As a user, emails are found from mailto, JSON-LD, meta, regex","Multiple sources checked, blacklisted emails filtered",PASS,—,—
F24,Phone Extraction,"As a user, Russian phones are extracted from page","All phones saved (up to 5), deduplicated",FIXED,"Only first phone was saved (all_phones[0])","Changed to save all unique phones: ', '.join(unique_phones[:5])"
